ASV,Kingdom,Phylum,Class,Order,Family,Genus
sq2522,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ia
sq2523,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04
sq2524,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
sq2525,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_II,SAR11_Clade_II_uc
sq2526,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospiraceae_uc
sq2527,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospiraceae_uc
sq2529,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996
sq2530,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
sq2531,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7,NS7_uc
sq2532,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola
sq2533,Bacteria,Proteobacteria,Gammaproteobacteria,HgCo23,HgCo23_uc,HgCo23_uc
sq2534,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopelagicus
sq2535,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopelagicus
sq2536,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillaceae_uc
sq2537,Bacteria,PAUC34f,PAUC34f_uc,PAUC34f_uc,PAUC34f_uc,PAUC34f_uc
sq2538,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,ML602J-51
sq2539,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
sq2540,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade_uc
sq2541,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9,NS9_uc
sq2542,Bacteria,Marinimicrobia_SAR406,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc,Marinimicrobia_SAR406_uc
